Date,Spotify_Ad-supported,Spotify_Premium
2012-04,0.000243805,0.000616118
2012-05,0.000302771,0.00076513
2012-06,0.000563761,0.000774635
2012-07,0.000358215,0.00078414
2012-08,0.000270196,0.00075072
2012-09,0.000434206,0.00077941
2012-10,0.000243256,0.00074438
2012-11,0.000360206,0.00075837
2012-12,9.635e-05,0.00073198
2013-01,0.000133605,0.00070774
2013-02,0.0001237,0.00074014
2013-03,9.9855e-05,0.00067405
2013-04,0.00018042,0.00069479
2013-05,0.000162424,0.00067931
2013-06,0.000202336,0.00072024
2013-07,0.000154691,0.00069097
2013-08,0.000183054,0.0006919
2013-09,0.000156643,0.00072709
2013-10,0.00010133,0.00075106
2013-11,0.00010133,0.00079699
2013-12,0.00010133,0.00078391
2014-01,0.00010133,0.00071961
2014-02,0.00011267,0.00063971
2014-03,0.00010401,0.00064475
2014-04,0.00011859,0.00066478
2014-05,0.00012139,0.0007296
2014-06,0.00011241,0.00069572
2014-07,0.00011679,0.00069665
2014-08,0.00013397,0.00071295
2014-09,0.00011128,0.00067737
2014-10,0.00011373,0.00072115
2014-11,0.00012291,0.000681
2014-12,0.00014821,0.00070807
2015-01,8.248e-05,0.00070575
2015-02,8.903e-05,0.00076422
2015-03,0.00012346,0.00068372
2015-04,0.0001459,0.00070066
2015-05,0.00014702,0.00067731
2015-06,0.00019198,0.00071794
2015-07,0.00018629,0.00071125
2015-08,0.00019273,0.00071078
2015-09,0.00018787,0.00073571
2015-10,0.00015163,0.00069883
2015-11,0.00017898,0.00073115
2015-12,0.00020297,0.00068581
2016-01,0.00014181,0.00071167
2016-02,0.0001521,0.00070471
2016-03,0.00015603,0.00064719
2016-04,0.00014905,0.00063796
2016-05,0.00016927,0.00062889
2016-06,0.00022988,0.0006682
2016-07,0.00020339,0.00066592
2016-08,0.00020418,0.00065544
2016-09,0.00017055,0.0006706
2016-10,0.00018493,0.00066275
2016-11,0.00021152,0.00068591
2016-12,0.00022288,0.00063933
2017-01,0.00013508,0.00065749
2017-02,0.00014213,0.00066481
2017-03,0.00020076,0.0005842
2017-04,0.00018279,0.00059882
2017-05,0.00019603,0.00057852
2017-06,0.00020249,0.00060916
2017-07,0.00020331,0.00060793
2017-08,0.00018191,0.00060482
2017-09,0.00017591,0.00061774
2017-10,0.00017187,0.00059358
2017-11,0.00017954,0.00061388
2017-12,0.00020311,0.00059193
2018-01,0.00015237,0.00060673
2018-02,0.00016814,0.00063894
2018-03,0.00018187,0.00057077
2018-04,0.00017387,0.00058564
2018-05,0.00016101,0.00057295
2018-06,0.00019313,0.00060835
2018-07,0.00020021,0.00060411
2018-08,0.00020502,0.00060343
2018-09,0.00021095,0.00062654
2018-10,0.000203116,0.000587291
2018-11,0.000230465,0.000609366
2018-12,0.000220701,0.000591926
2019-01,0.000145081,0.000604447
